utc_time,dx,dy,dz,d3d,dclk_ns
2026-01-01 00:15:00,-1.891,-0.475,-0.425,1.995528,59.077494
2026-01-01 00:30:00,-1.835,-0.433,-0.461,1.940937,58.894268
2026-01-01 00:45:00,-1.77,-0.396,-0.503,1.882213,58.937043
2026-01-01 01:00:00,-1.694,-0.363,-0.548,1.817061,58.997817
2026-01-01 01:15:00,-1.585,-0.64,-0.385,1.752156,61.400004
2026-01-01 01:30:00,-1.523,-0.635,-0.438,1.707219,61.683178
2026-01-01 01:45:00,-1.451,-0.632,-0.488,1.656191,61.960353
2026-01-01 02:00:00,-1.369,-0.628,-0.536,1.5987,62.299528
2026-01-01 02:15:00,-1.487,-0.635,-0.563,1.712122,61.634904
2026-01-01 02:30:00,-1.418,-0.639,-0.617,1.673241,61.501575
2026-01-01 02:45:00,-1.345,-0.642,-0.663,1.631183,61.309247
2026-01-01 03:00:00,-1.263,-0.646,-0.7,1.581924,61.222919
2026-01-01 03:15:00,-1.244,-0.745,-0.678,1.600701,59.065827
2026-01-01 03:30:00,-1.166,-0.767,-0.705,1.563608,58.845054
2026-01-01 03:45:00,-1.086,-0.788,-0.717,1.521325,58.65328
2026-01-01 04:00:00,-1.004,-0.808,-0.717,1.474778,58.608507
2026-01-01 04:15:00,-0.891,-0.906,-0.62,1.413901,59.97815
2026-01-01 04:30:00,-0.84,-0.935,-0.61,1.397113,59.853663
2026-01-01 04:45:00,-0.789,-0.96,-0.589,1.375152,59.879176
2026-01-01 05:00:00,-0.741,-0.983,-0.554,1.349921,59.939689
2026-01-01 05:15:00,-0.319,-1.026,-0.31,1.118274,60.790602
2026-01-01 05:30:00,-0.286,-1.042,-0.256,1.110449,60.721646
2026-01-01 05:45:00,-0.257,-1.055,-0.193,1.10287,60.595691
2026-01-01 06:00:00,-0.231,-1.065,-0.126,1.097024,60.746735
2026-01-01 06:15:00,-0.209,-1.143,-0.066,1.163824,59.678623
2026-01-01 06:30:00,-0.193,-1.156,0.016,1.17211,59.683352
2026-01-01 06:45:00,-0.183,-1.162,0.103,1.180823,59.649082
2026-01-01 07:00:00,-0.179,-1.159,0.192,1.188354,59.478811
2026-01-01 07:15:00,-0.321,-1.173,-0.011,1.216179,60.174583
2026-01-01 07:30:00,-0.302,-1.16,0.077,1.201138,60.09844
2026-01-01 07:45:00,-0.286,-1.139,0.163,1.185616,60.002296
2026-01-01 08:00:00,-0.276,-1.111,0.244,1.170484,59.886153
2026-01-01 08:15:00,-0.373,-1.166,0.068,1.226095,59.827013
2026-01-01 08:30:00,-0.36,-1.14,0.144,1.204133,60.089092
2026-01-01 08:45:00,-0.352,-1.108,0.213,1.181921,60.405172
2026-01-01 09:00:00,-0.353,-1.073,0.271,1.161628,60.687251
2026-01-01 09:15:00,-0.454,-1.048,0.134,1.149946,61.04892
2026-01-01 09:30:00,-0.428,-1.013,0.198,1.117388,61.140376
2026-01-01 09:45:00,-0.405,-0.975,0.252,1.085428,60.833831
2026-01-01 10:00:00,-0.386,-0.938,0.291,1.055235,60.667286
2026-01-01 10:15:00,-0.567,-1.106,0.196,1.258229,58.338465
2026-01-01 10:30:00,-0.537,-1.074,0.252,1.226927,58.244707
2026-01-01 10:45:00,-0.507,-1.046,0.297,1.199739,58.25495
2026-01-01 11:00:00,-0.483,-1.026,0.327,1.180209,58.184192
2026-01-01 11:15:00,-0.667,-1.049,0.28,1.274241,59.836046
2026-01-01 11:30:00,-0.625,-1.029,0.326,1.247294,59.797559
2026-01-01 11:45:00,-0.588,-1.014,0.361,1.226483,59.804071
2026-01-01 12:00:00,-0.561,-1.007,0.382,1.21437,59.692584
2026-01-01 12:15:00,-0.71,-0.979,0.249,1.234723,59.358763
2026-01-01 12:30:00,-0.671,-0.967,0.282,1.210312,59.304926
2026-01-01 12:45:00,-0.64,-0.963,0.306,1.196079,59.091088
2026-01-01 13:00:00,-0.616,-0.973,0.322,1.195771,59.041251
2026-01-01 13:15:00,-0.653,-1.008,0.288,1.235078,58.887565
2026-01-01 13:30:00,-0.631,-1.016,0.312,1.236026,59.116333
2026-01-01 13:45:00,-0.617,-1.031,0.331,1.246279,59.475101
2026-01-01 14:00:00,-0.617,-1.054,0.345,1.269106,59.627868
2026-01-01 14:15:00,-0.672,-1.104,0.329,1.333657,59.704493
2026-01-01 14:30:00,-0.664,-1.132,0.336,1.354701,59.697261
2026-01-01 14:45:00,-0.666,-1.168,0.339,1.386615,59.720029
2026-01-01 15:00:00,-0.681,-1.209,0.341,1.428889,59.615796
2026-01-01 15:15:00,-0.664,-1.278,0.326,1.476637,62.174204
2026-01-01 15:30:00,-0.69,-1.321,0.324,1.525161,62.380442
2026-01-01 15:45:00,-0.728,-1.365,0.322,1.580156,62.417143
2026-01-01 16:00:00,-0.774,-1.41,0.319,1.639798,62.381307
2026-01-01 16:15:00,-0.836,-1.435,0.341,1.695406,62.469455
2026-01-01 16:30:00,-0.899,-1.475,0.339,1.760326,62.407097
2026-01-01 16:45:00,-0.965,-1.513,0.34,1.82647,62.351202
2026-01-01 17:00:00,-1.035,-1.549,0.342,1.894093,62.476771
2026-01-01 17:15:00,-1.173,-1.596,0.345,2.010515,62.546503
2026-01-01 17:30:00,-1.261,-1.631,0.358,2.092474,62.54575
2026-01-01 17:45:00,-1.349,-1.661,0.375,2.172406,62.570461
2026-01-01 18:00:00,-1.438,-1.691,0.391,2.253931,62.630634
2026-01-01 18:15:00,-1.042,-1.707,0.099,2.002352,61.781246
2026-01-01 18:30:00,-1.158,-1.719,0.117,2.075961,61.885883
2026-01-01 18:45:00,-1.271,-1.724,0.134,2.14606,61.823829
2026-01-01 19:00:00,-1.378,-1.721,0.147,2.2096,61.840086
2026-01-01 19:15:00,-1.37,-1.669,0.117,2.162441,57.690904
2026-01-01 19:30:00,-1.489,-1.656,0.134,2.231012,57.657029
2026-01-01 19:45:00,-1.596,-1.635,0.15,2.289747,57.446154
2026-01-01 20:00:00,-1.691,-1.609,0.16,2.33965,57.40428
2026-01-01 20:15:00,-1.727,-1.428,0.17,2.247357,60.086354
2026-01-01 20:30:00,-1.813,-1.392,0.196,2.294134,60.362071
2026-01-01 20:45:00,-1.885,-1.352,0.214,2.329576,60.884787
2026-01-01 21:00:00,-1.946,-1.309,0.225,2.356061,61.239504
2026-01-01 21:15:00,-2.001,-1.244,0.219,2.366326,61.97865
2026-01-01 21:30:00,-2.037,-1.204,0.223,2.376702,62.323733
2026-01-01 21:45:00,-2.064,-1.158,0.219,2.376767,62.677816
2026-01-01 22:00:00,-2.076,-1.102,0.208,2.359543,63.002899
2026-01-01 22:15:00,-1.776,-0.962,-0.076,2.021236,59.619241
2026-01-01 22:30:00,-1.775,-0.916,-0.093,1.999582,59.588239
2026-01-01 22:45:00,-1.762,-0.863,-0.115,1.96536,59.529237
2026-01-01 23:00:00,-1.741,-0.807,-0.142,1.924187,59.574235
2026-01-01 23:15:00,-1.82,-0.711,-0.207,1.964884,59.169991
2026-01-01 23:30:00,-1.791,-0.659,-0.229,1.922083,58.74383
2026-01-01 23:45:00,-1.757,-0.606,-0.254,1.875847,58.430669
2026-01-02 00:00:00,-1.553,-0.598,-0.296,1.690275,57.646508
2026-01-02 00:15:00,-1.545,-0.577,-0.246,1.667474,58.164799
2026-01-02 00:30:00,-1.482,-0.539,-0.287,1.602877,57.841348
2026-01-02 00:45:00,-1.415,-0.507,-0.328,1.53846,57.502897
2026-01-02 01:00:00,-1.342,-0.48,-0.369,1.472252,56.966445
2026-01-02 01:15:00,-1.206,-0.638,-0.227,1.383116,58.151561
2026-01-02 01:30:00,-1.122,-0.624,-0.284,1.314883,57.998781
2026-01-02 01:45:00,-1.035,-0.616,-0.336,1.250431,57.546001
2026-01-02 02:00:00,-0.949,-0.612,-0.379,1.191128,57.373221
2026-01-02 02:15:00,-0.848,-0.53,-0.504,1.11983,59.405085
2026-01-02 02:30:00,-0.747,-0.517,-0.547,1.060428,59.532719
2026-01-02 02:45:00,-0.65,-0.51,-0.581,1.01003,59.588353
2026-01-02 03:00:00,-0.56,-0.51,-0.603,0.968147,59.778986
2026-01-02 03:15:00,-0.771,-0.672,-0.532,1.152844,60.327026
2026-01-02 03:30:00,-0.678,-0.663,-0.555,1.098762,60.414835
2026-01-02 03:45:00,-0.594,-0.66,-0.569,1.054608,60.432643
2026-01-02 04:00:00,-0.52,-0.66,-0.571,1.015894,60.554452
2026-01-02 04:15:00,-0.312,-0.719,-0.422,0.890162,59.043733
2026-01-02 04:30:00,-0.233,-0.727,-0.387,0.855913,59.185463
2026-01-02 04:45:00,-0.166,-0.739,-0.345,0.832287,59.329192
2026-01-02 05:00:00,-0.111,-0.751,-0.296,0.814824,59.193922
2026-01-02 05:15:00,-0.039,-0.858,-0.148,0.871544,59.477604
2026-01-02 05:30:00,0.005,-0.869,-0.082,0.872875,59.499298
2026-01-02 05:45:00,0.039,-0.878,-0.015,0.878994,59.556992
2026-01-02 06:00:00,0.059,-0.888,0.053,0.891535,59.433686
2026-01-02 06:15:00,0.188,-0.865,0.147,0.897317,59.182907
2026-01-02 06:30:00,0.215,-0.862,0.227,0.91695,59.149429
2026-01-02 06:45:00,0.233,-0.856,0.306,0.938435,59.112952
2026-01-02 07:00:00,0.245,-0.847,0.383,0.961313,59.097474
2026-01-02 07:15:00,0.194,-0.877,0.254,0.933424,59.878648
2026-01-02 07:30:00,0.203,-0.869,0.323,0.949052,59.971307
2026-01-02 07:45:00,0.209,-0.853,0.387,0.959718,60.229966
2026-01-02 08:00:00,0.209,-0.834,0.446,0.968583,60.451625
2026-01-02 08:15:00,0.205,-0.881,0.33,0.962853,59.633692
2026-01-02 08:30:00,0.202,-0.872,0.389,0.975966,59.527017
2026-01-02 08:45:00,0.195,-0.856,0.443,0.983367,59.439342
2026-01-02 09:00:00,0.18,-0.838,0.49,0.987291,59.177667
2026-01-02 09:15:00,0.029,-0.832,0.307,0.887307,58.394638
2026-01-02 09:30:00,0.028,-0.816,0.346,0.886767,58.403826
2026-01-02 09:45:00,0.021,-0.798,0.377,0.882822,58.626014
2026-01-02 10:00:00,0.013,-0.778,0.402,0.875818,58.694202
2026-01-02 10:15:00,-0.056,-0.88,0.451,0.990423,59.653955
2026-01-02 10:30:00,-0.063,-0.869,0.476,0.992827,59.62764
2026-01-02 10:45:00,-0.069,-0.859,0.495,0.993814,59.842324
2026-01-02 11:00:00,-0.078,-0.852,0.507,0.994503,60.032009
2026-01-02 11:15:00,-0.183,-0.847,0.457,0.979667,58.661747
2026-01-02 11:30:00,-0.177,-0.846,0.477,0.987205,58.668981
2026-01-02 11:45:00,-0.174,-0.846,0.488,0.992036,58.569214
2026-01-02 12:00:00,-0.18,-0.847,0.49,0.994942,58.376447
2026-01-02 12:15:00,-0.259,-0.806,0.464,0.965408,57.960198
2026-01-02 12:30:00,-0.254,-0.797,0.476,0.962445,57.962861
2026-01-02 12:45:00,-0.254,-0.795,0.483,0.964277,58.005524
2026-01-02 13:00:00,-0.259,-0.8,0.484,0.970225,58.187187
2026-01-02 13:15:00,-0.236,-0.781,0.478,0.94559,58.730572
2026-01-02 13:30:00,-0.226,-0.777,0.493,0.947552,58.567588
2026-01-02 13:45:00,-0.221,-0.778,0.504,0.952964,58.516605
2026-01-02 14:00:00,-0.226,-0.786,0.513,0.965423,58.555621
2026-01-02 14:15:00,-0.274,-0.841,0.502,1.017035,58.492254
2026-01-02 14:30:00,-0.28,-0.85,0.508,1.02906,58.53527
2026-01-02 14:45:00,-0.293,-0.865,0.511,1.046516,58.639287
2026-01-02 15:00:00,-0.317,-0.886,0.515,1.072712,58.781303
2026-01-02 15:15:00,-0.34,-0.91,0.525,1.104231,57.25608
2026-01-02 15:30:00,-0.366,-0.931,0.528,1.13115,57.116026
2026-01-02 15:45:00,-0.399,-0.955,0.532,1.163722,57.133831
2026-01-02 16:00:00,-0.438,-0.98,0.537,1.200255,57.113493
2026-01-02 16:15:00,-0.535,-0.988,0.559,1.25493,56.978625
2026-01-02 16:30:00,-0.589,-1.02,0.564,1.305916,56.887775
2026-01-02 16:45:00,-0.644,-1.053,0.572,1.360415,57.042783
2026-01-02 17:00:00,-0.697,-1.086,0.581,1.415191,57.12065
2026-01-02 17:15:00,-0.658,-1.09,0.566,1.393348,57.297958
2026-01-02 17:30:00,-0.728,-1.121,0.589,1.460666,57.331111
2026-01-02 17:45:00,-0.793,-1.15,0.61,1.524286,57.464122
2026-01-02 18:00:00,-0.853,-1.178,0.625,1.583009,57.579992
2026-01-02 18:15:00,-0.93,-1.319,0.594,1.719737,58.502337
2026-01-02 18:30:00,-1.028,-1.336,0.642,1.803841,58.537464
2026-01-02 18:45:00,-1.121,-1.347,0.684,1.881198,58.418712
2026-01-02 19:00:00,-1.197,-1.353,0.715,1.942844,58.222083
2026-01-02 19:15:00,-1.099,-1.345,0.614,1.842233,57.701897
2026-01-02 19:30:00,-1.194,-1.347,0.66,1.917197,57.562917
2026-01-02 19:45:00,-1.272,-1.346,0.697,1.978765,57.408938
2026-01-02 20:00:00,-1.334,-1.342,0.718,2.023869,57.288958
2026-01-02 20:15:00,-1.316,-1.179,0.735,1.913667,59.969998
2026-01-02 20:30:00,-1.37,-1.178,0.771,1.96444,60.090196
2026-01-02 20:45:00,-1.409,-1.175,0.795,1.999483,59.934393
2026-01-02 21:00:00,-1.438,-1.17,0.799,2.018699,59.773591
2026-01-02 21:15:00,-1.503,-1.181,0.792,2.069066,60.41893
2026-01-02 21:30:00,-1.536,-1.189,0.802,2.101481,60.420067
2026-01-02 21:45:00,-1.561,-1.188,0.799,2.118128,60.278204
